Bank,Year,STATE_SHARE,LOANS,ASSETS,DEPOSITS_ASSETS,PROFIT_BT_ASSETS,COST_TO_INCOME,EQUITY_ASSETS,LLOSS_RES_ON_GLOANS
204,2005,100.00,1 534 255.25,1 981 582.64,0.37,0.26,72.86,0.19,3.18
204,2006,100.00,5 919 437.41,7 009 984.32,0.39,0.64,58.99,0.12,2.54
204,2007,100.00,11 878 950.51,14 522 011.30,0.44,1.64,54.17,0.09,2.38
204,2008,100.00,15 394 641.12,24 271 756.75,0.56,0.47,55.82,0.10,3.53
204,2009,100.00,19 322 944.26,27 465 232.57,0.51,0.10,57.05,0.14,4.88
204,2010,100.00,22 592 716.88,30 541 162.78,0.53,0.08,44.65,0.13,7.65
204,2011,100.00,28 068 523.26,39 893 837.27,0.54,0.03,56.01,0.12,7.75
205,2005,92.10,1 099 543.17,1 791 255.18,0.61,-2.09,112.31,0.12,5.43
205,2006,96.13,4 526 449.67,6 040 210.95,0.71,0.51,76.18,0.11,2.29
205,2007,76.10,9 910 055.15,13 011 655.35,0.74,0.38,73.35,0.14,2.36
205,2008,77.47,14 748 070.59,20 302 014.89,0.64,0.95,56.75,0.09,3.57
205,2009,85.50,15 200 501.01,23 573 874.95,0.75,0.87,48.59,0.11,7.22
205,2010,85.49,15 862 767.58,29 663 678.55,0.81,2.41,44.56,0.10,8.94
205,2011,75.50,20 768 819.41,36 556 942.50,0.87,3.04,45.73,0.09,7.31
207,2005,48.65,5 671 786.92,8 538 848.62,0.77,2.12,52.87,0.10,1.22
207,2006,46.46,9 723 942.31,14 505 956.69,0.77,2.00,52.01,0.08,1.29
207,2007,44.00,14 324 913.59,21 513 969.20,0.79,2.50,46.60,0.09,1.27
207,2008,43.41,17 581 919.10,27 276 188.36,0.77,1.03,47.95,0.08,2.44
207,2009,48.11,18 455 277.08,27 284 903.78,0.79,0.15,31.13,0.10,7.20
207,2011,69.63,22 319 528.93,32 923 530.45,0.59,2.96,86.59,0.15,26.22
208,2006,0.00,6 188 685.56,9 376 736.92,0.86,3.00,33.12,0.08,1.79
208,2007,0.00,10 952 717.54,14 990 148.93,0.84,2.36,38.45,0.10,1.61
208,2008,0.00,13 593 835.08,20 277 464.51,0.80,2.48,33.94,0.09,1.78
208,2009,0.00,11 296 750.93,15 947 302.04,0.79,1.73,33.90,0.12,4.15
208,2010,0.00,12 672 423.54,18 866 957.52,0.78,2.21,35.17,0.12,3.81
208,2011,0.00,14 681 843.16,23 977 341.49,0.79,2.57,31.35,0.11,3.23
209,2005,0.00,3 948 482.75,7 402 296.85,0.75,2.03,64.38,0.11,4.93
209,2006,0.00,6 123 674.99,11 159 260.23,0.76,2.06,56.33,0.10,6.46
209,2007,0.00,9 508 123.29,16 624 287.79,0.76,2.02,55.19,0.10,5.94
209,2008,0.00,11 194 197.84,17 241 188.53,0.84,0.51,60.92,0.09,6.50
209,2009,0.00,8 375 324.72,15 259 553.66,0.84,-3.58,65.39,0.07,14.91
209,2010,0.00,8 966 167.47,14 916 969.32,0.70,0.04,62.73,0.19,15.81
209,2011,0.00,16 858 625.39,23 155 319.59,0.71,1.47,67.94,0.14,10.49
210,2005,0.00,1 877 536.78,2 971 149.26,0.62,2.42,31.01,0.16,6.68
210,2006,0.00,2 798 891.78,4 158 758.99,0.60,2.78,42.06,0.14,5.88
210,2007,0.00,5 384 206.02,8 107 161.05,0.68,2.30,38.51,0.12,4.78
210,2008,0.00,6 389 337.99,9 455 120.03,0.66,1.51,35.93,0.12,5.87
210,2009,0.00,5 377 883.94,9 162 454.14,0.66,2.00,29.22,0.14,9.48
210,2010,0.00,11 133 083.97,17 397 329.76,0.70,1.74,38.28,0.11,4.38
210,2011,0.00,13 911 777.85,20 565 968.76,0.74,2.35,41.84,0.11,4.35
211,2005,0.00,3 298 970.00,4 694 602.82,0.62,2.28,40.35,0.11,2.29
211,2006,0.00,7 483 485.23,11 363 569.96,0.65,1.98,52.36,0.11,1.85
211,2007,0.00,12 011 011.68,18 097 790.79,0.56,2.00,50.27,0.12,2.59
211,2008,0.00,12 407 605.45,21 079 346.06,0.80,2.53,43.29,0.12,3.75
211,2009,0.00,8 085 136.86,16 950 568.77,0.78,1.29,42.71,0.15,9.79
211,2010,0.00,9 304 223.49,16 678 359.03,0.76,1.85,55.79,0.17,9.14
211,2011,0.00,11 018 197.63,18 793 778.99,0.78,3.02,55.61,0.16,6.27
212,2005,0.00,2 314 090.26,3 854 356.11,0.74,2.04,52.93,0.11,2.42
